,key,prefix,number,suffix,title,description,minimum credits,maximum credits,other
7148,OLEAD 464,OLEAD,464,,Communication Skills for Leaders in Groups and Organizations,"Theory-and research-based communication skills for leaders dealing with work-related problems in contemporary groups and organizations.  LER 464 Communication Skills for Leaders in Groups and Organizations (3)(BA) This course meets the Bachelor of Arts degree requirements. LER 464 Communication Skills for Leaders in Groups and Organizations is a survey of theory, research, and practice related to the communication processes by which individuals in groups and organizations exercise influence, whether or not they occupy positions of acknowledged leadership, and may be taken as part of an Labor and Industrial Relations major or minor, or as an elective by students in other disciplines. The course is offered once each academic year and has an enrollment limit of 40 students per offering. The course requires no special facilities. It extends to other courses in the major primarily in the areas of Industrial Relations and Human Resources. It is also complementary to courses focusing on groups and organizations in Sociology, Psychology, Management, and Engineering. During the course, students are exposed to a variety of theoretical perspectives on the study of leadership, learn about research illuminating its functions, and become acquainted with communication practices derived from and/or suggested by such theories and research that contribute to the exercise of influence and, thereby, effective group and organizational performance. These terminal outcomes define the objectives of the course. Focus will be on leadership as both role-related behavior and goal-directed behavior, regardless of roles that members of groups and organizations occupy.",3,3,Cross-listed with: LER 464Bachelor of Arts: Social and Behavioral Sciences
7151,OLEAD 496,OLEAD,496,,Independent Study,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",1,18,Prerequisite:  OLEAD100
7154,PNG 405,PNG,405,,Rock and Fluid Properties,"Reservoir rock properties, rock and fluid properties (interaction between rock and fluids), flow behavior in reservoir, and fluid properties. The objective of this course is to introduce students to basic reservoir rock and fluid properties. The course is divided into three sections: rock properties, rock and fluid properties (interaction between rock and fluids), and fluid properties. In the rock properties, Lithology of Reservoirs, Porosity and Permeability of Rocks, Darcy's Law, and Distribution of Rock Properties are discussed. In Rock and Fluid Properties Section, Existence of Multi-phases, Saturation, Wettability, Capillary Pressurem, Effective and Relative Permeability, concepts are covered. Fluid properties topics include Phase Behavior of Single and Multi Component Systems, Compositional and Black-Oil models, Solution Gas-Oil Ratios, Formation Volume Factor, Compressibility, Density, Viscosity, and Interfacial Tension. This is also the first course that Petroleum and Natural Gas Engineering students take in the major. Therefore, an introduction to petroleum and natural gas engineering is also made. This course is a pre-requisite for most of the Petroleum and Natural Gas Engineering major courses. It is an elective course for majors such as Environmental Systems Engineering. It is offered every Fall semester.",3,3,"Prerequisites: PHYS 211, PNG 301"
7157,PNG 411,PNG,411,,Introduction to Petroleum and Natural Gas Extraction,Introduction to the design and implementation of the systems used in the extraction of oil and gas.  Not intended for petroleum and natural gas engineering majors.,1,1,Prerequisite:  PHYS 211
7160,PNG 425,PNG,425,,Principles of Well Testing and Evaluation,"This course examines the mathematical basis for pressure analysis. Both theory and the practice of pressure testing techniques are considered. The objectives are to: 1) Understand fundamentals of pressure transient analysis (well testing) for estimation of key formation parameters for a variety of flow models, including the line source solution, finite wellbore radius with wellbore storage and skin, naturally fractured reservoirs, and infinite and finite conductivity fractures; 2) Solve pressure transient problems using analytical solutions, computer programs, classical graphical methods, and modern well test software; 3) Understand sources of error and assumptions made; and 4) Learn about practical well test evaluation and well configurations for both tight and conventional reservoirs.",3,3,Prerequisite: ( MATH 251 or ( MATH 250 and MATH 252 ) ) and PNG 420
7163,PNG 450,PNG,450,,Drilling Engineering,"PNG 450: Drilling Engineering covers the design and analysis of oil-field drilling operations and equipment. This course addresses a critical issue in petroleum and natural gas engineering: how to drill and complete oil and gas wells in a sound, economical, and environmentally safe manner. Drilling technology has advanced greatly since the first commercial oil well in the U.S. was drilled in northwest Pennsylvania in 1859. The true vertical depth of the well has grown from 69.5 feet from then to more than 15,000 ft, with the deepest at more than 40,000 feet, today. The horizontal length of a well has grown from theoretically zero to more than 10,000 feet, with the longest at 40,000 feet. The temperature and pressure of the formation that petroleum engineers need to drill through could easily reach 350 F and 20,000 psi or higher, and the formation and fracture gradient window becomes narrower, all making drilling and completion more challenging. In summary, it is becoming increasingly more challenging to drill wells. Thus, engineering design becomes more critical. The objectives of this course are to introduce the students to the science of drilling and completion. This includes learning the fundamentals of drilling fluids and drilling fluid design, and applying fluid mechanics and quantifying drilling hydraulics for complex fluid flow through drilling string and annular spaces. The course will also discuss the concepts and quantify the formation pressure and fracture pressure gradients for different methods of drilling. A key task for students will be to learn the methods for characterization, selection and optimization of casing design, and optimized bit design, and finally the course will discuss how to design directional and horizontal wells to optimize production and recovery from mature fields and unconventional resources, such as coalbed methane, shale gas, and tight oil in Pennsylvania. This course is a prerequisite for petroleum and natural gas engineering major courses. It is an elective course for majors such as chemical engineering, mechanical engineering, civil engineering, etc. The knowledge, methods, and practical skills in this course could also be used in various other industries including geothermal HVAC, ground water drilling, mineral exploration, and scientific research.",3,3,Prerequisite: ( EME 303 or CE 360 or ME 320 ) and ( EMCH 210 or ( EMCH 211 and EMCH 213 ) )
7166,PNG 457,PNG,457,,Pump Systems for Oil and Gas Production,Industry professionals teach about sucker-rod pump technology.,1,1,
7169,PNG 475,PNG,475,,Production and Completions Engineering,Design and selection of mechanical components used in the production of fluids from subsurface reservoirs.,3,3,Prerequisite:  E MCH210
7172,PNG 490,PNG,490,,Introduction to Petroleum Engineering Design,"P N G 490 Introduction to Petroleum Engineering Design (1) The objective of this course is to introduce to the students the principles of engineering design as applied to petroleum and natural gas projects. The course focuses on the analysis of physical data with respect to error and use of this data in design. Other topics to be visited include a definition of what is a project deliverable and establishment of timelines for their implementation. The salient points of the course are as follows: (1)This course is the first capstone engineering design course in the sequence of three courses. In this portion of the course students' principal goal is to characterize the reservoir. In this process necessary basic sciences and engineering skills are utilized. (2)In reservoir characterization, students typically collect and analyze the data available in the literature and other related data provided by the operators. (3)In making a preliminary assessment towards field development students consider factors involving economic, environmental, social, ethical, health and safety considerations. (4)In this course, students work in teams. In each team, team members assume responsibilities as petrophysicist, drilling engineer, geologist, geophysicist production engineer, reservoir engineer and implement the necessary technical skill to fulfill their obligations. (5)This project starts from the ground level and ends with a complete field development plan. Within the context of the project (reservoir characterization) students have the opportunity to use the necessary skills to identify and formulate and solve the engineering problems and challenges that are faced. (6)In selecting the lease area the potential impact of project on the social and physical environments is considered and all the ethical responsibilities are studied in depth. (7)During every phase of the project the impact of decisions are considered within the framework of global, economic, environmental and societal context. (8)In this course the main contemporary issue the need for unconventional energy resources is the driving force behind the project. (9) In every phase of the project students are exposed to contemporary methodologies and engineering tools including forecasting, scenario planning and reservoir simulation. Also, whenever applicable the necessary engineering software is also incorporated in the development of the project.",1,1,"Prerequisite: PNG 405, PNG 406"
7175,PNG 492H,PNG,492,H,Petroleum Engineering Capstone Design,"Integration of petroleum and natural gas engineering concepts to project design.  P N G 492 Petroleum Engineering Capstone Design (1) Engineering design by definition is the integration of knowledge and skills acquired through experience, reading and formal instruction into a final product, the design. To that end, this course is the third course of a 3-course, 3-semester, sequence that will result in a comprehensive capstone-engineering project. As such, P N G 492 will utilize the knowledge gained from three semesters of formal instruction to the project design initiated in P N G 490 and continued on in P N G 491. Course material will include the application of spreadsheet programming to petroleum and natural gas project design and its use in project economic analysis and risk analysis.The class will be divided into teams and students will be evaluated on the basis of their contribution to the team effort. All reports and presentations will be presented to the class as a product of the team.",1,1,Honors
7178,PNG 496,PNG,496,,Independent Studies,"Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",1,18,
7181,PHIL 1H,PHIL,1,H,The Big Questions -Honors,"This course plunges students into the deepest philosophical questions: Why is there something rather than nothing? Can I be sure about anything? What is the purpose of life? Is morality real or conventional? Can the existence of God be proven or disproven? Can science explain everything? Students will meet a range of historical and contemporary formulations of philosophical questions such as these, study various types of response, and acquire the analytical and expository skills to develop and defend their own perspectives. The course proceeds through discussion, reading, writing, and other assignments.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)HonorsGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies
7184,PHIL 4,PHIL,4,,The Human Condition,"This course introduces central philosophical questions about the lives we humans live: Can our lives have meaning, and does their value depend on it? Does each of us have a true self to be discovered, or a shared human nature we cannot escape? What do we mean by ""authenticity,"" is it worth striving for, and can it be achieved? What difference does recognizing your mortality make to anything? We explore these questions in conversation with influential historical perspectives and contemporary theories, while approaching them from everyday concerns. Doing so provides a path for introducing philosophical ideas and evaluations into ordinary life.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies
7187,PHIL 7,PHIL,7,,Asian Philosophy,"This class is an introduction to the major intellectual philosophical traditions of Asia: Hinduism, Buddhism and Zen Buddhism, Jainism, Confucianism and Neo-Confucianism, and Taoism. It proceeds through careful study of major, representative texts and authors of each of these traditions, and may range from foundational works to modern and contemporary developments.",3,3,Bachelor of Arts: HumanitiesBachelor of Arts: Other CulturesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative Thinking
7190,PHIL 10,PHIL,10,,Critical Thinking,"This course provides a critical awareness of the function, nature, strengths, and weaknesses of argumentation in its various real-world and academic forms and contexts. Students examine the construction of persuasive arguments, discover types of fallacy, and learn how to evaluate reasoning for validity and soundness (that is, logicality and truth).",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies
7193,PHIL 11,PHIL,11,,Science and Truth,"This course investigates the nature of science, scientific reasoning, and the ""scientific method."" The value of objectivity and explanation will be considered in relation to our knowledge of the world and ourselves. Students will compare scientific truth claims to others, such as those from common sense, religion, the humanities, and pseudo-science. Key concepts include hypothesis, falsification, evidence, models, and theory. We ask: How do facts relate to proofs? What is the role of subjectivity in interpreting data? Does science progress? Are there questions science cannot answer? The goal of the course is for students to understand better the meaning, value, and limitations of the scientific enterprise.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative Thinking
7196,PHIL 14,PHIL,14,,Love and Sex,"This course examines the dominant philosophical and theological theories of love and sexuality in the Western world; historical and recent critiques of those theories; and the relevance of gender, race/ethnicity, and sexual orientation to all such thinking about love and sex. Related ethical issues include monogamy, same-sex marriage, cultural differences, pornography, and consent, especially in contemporary US context.",3,3,Bachelor of Arts: HumanitiesUnited States Cultures (US)General Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative Thinking
7199,PHIL 60N,PHIL,60,N,Philosophy and 1960s Counterculture,"Explores some of the central philosophical ideas, values, and social scientific theories that motivated, attended, and/or were presupposed by signature events, projects, and persons typically associated with the 1960s Counterculture. PHIL 60N Philosophy and 1960s Counterculture. Students examine original texts and experience other forms of media to enhance their understanding of central philosophical and social scientific assumptions and theories underlying historically prominent projects and events that are typically associated with the 1960s Counterculture, including, for example, ones that address the relationship of individuals to society, the conditions and ideals of the good life, and the nature of dominance and social control. Students are guided in the design and completion of mini-research projects that address specific counter-cultural phenomena and that are intended to further foster the development of interdisciplinary research skills and inquiry. PHIL 60N satisfies 3 credits of the General Education Integrative Studies Requirement and may be used to fulfill 3 credits of the GH and GS requirements.",3,3,General Education: Humanities (GH)General Education: Social and Behavioral Scien (GS)General Education -  Integrative: InterdomainGenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key Literacies
7202,PHIL 102,PHIL,102,,Existentialism,"This course introduces students to the evolution of Existentialism, with its kernel in mid-nineteenth century reflection on Christianity's loosening grip on culture, its influence by the early-twentieth century experience of war's utter and widespread destructiveness, and its development in mid-twentieth century industrial and capitalist modernity. It concerns especially what it means to define one¿s own life in light of social pressures, interpersonal conflict, and economic forces, with or without the aid of traditional or religious guidance. This that means the course focuses on metaphysical, moral, and social issues concerning reality, the nature of the self, the basis of values, and the relations between individuality and community, and studies philosophical treatises, imaginative literature, and other genres of writing. Representative authors include Kierkegaard, Nietzsche, Marcel, Wright, Ellison, Jaspers, Fanon, Camus, Beauvoir, Sartre, and Lorraine Hansberry.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical Think
7205,PHIL 103W,PHIL,103,W,Ethics,"Through reading and discussion of classical and contemporary sources, this WAC course provides an introduction to the basic questions of ethics, the major currents in traditional ethical theory (virtue ethics, deontology, consequentialism), and more recent developments (e.g., care ethics). These schools of thought offer distinct answers about how we should decide what to do and about what makes a character, a decision, an action good or bad, right or wrong. Students will gain a basic understanding of concepts such as agency, autonomy, and moral responsibility, while also reflecting on the foundations, scope, and limits of moral reasoning: Are ethical norms universal, particular, or culturally relative? How is the moral life of the individual related to political life? Are there moral solutions to social problems or vice versa?",3,3,Prerequisite:  ENGL 015 or ENGL 030
7208,PHIL 106,PHIL,106,,Business Ethics,"Business ethics is not just about CEOs behaving badly. Even if sweatshops treat humans poorly, do they deserve thanks for their labor market expansion? Must corporate trustees seek only profit for their shareholders, or also benefit their surrounding communities? Who picks up the cost of environmental degradation by airlines, factories, and farms? What exactly does 'truth in advertising' mean, and how limited should marketing be to children, or about alcohol and pharmaceuticals? How should the imperatives of the 'free market' or 'capitalism' be treated in democratic decision-making? The course will develop a student's critical skills in evaluating the philosophical foundations and justifications for business and economic systems, the relation between morality and contemporary business practices, and central positions and figures in the history of philosophical analysis of these questions.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Soc Resp and Ethic Reason
7211,PHIL 108H,PHIL,108,H,Honors Social and Political Philosophy,"This course studies philosophical views about large-scale human relations: in groups, communities, populations, nations, and countries. By studying prominent philosophers and positions it investigates the following kinds of questions: Why might anarchy give way to government? How do political arrangements differ from domestic, friendship, or business obligations? Ought people organize to pursue a common good or goal? What does fundamental opposition about religion, morality, financial interest, and human sentiment mean for integration into a public realm? Is the personal always political, and what deserves to be kept private? Such questions have animated philosophy since its origins, is of vibrant contemporary interest, requires development of a view of human nature, and relates to ethics, psychology, sociology, law and criminology, economics, and political science. By the course's end, students should have a greater critical understanding of the nature of social and political organization, influences on human values, and the traditional philosophical problem concerning the good society.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)HonorsGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Soc Resp and Ethic Reason
7214,PHIL 110,PHIL,110,,Philosophy of Science,"This course examines core philosophical questions about science, scientific reasoning and scientific practice. What is scientific method, and what role do deduction, induction and abduction play in it? How does scientific method differ from one science to another? What role do mathematics, mathematical models and computation play in the various sciences? How does reductionism (the claim that parts determine the whole according to specified laws) help science develop but also limits it? Why must philosophical reflection on science also encompass the history of science? If we pay close attention to the role of science in culture, we find that it has ethical as well as epistemological aspects, as it interacts with religion and politics.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative Thinking
7217,PHIL 115,PHIL,115,,Philosophy and Education,"This course surveys the core philosophical questions that arise when thinking about education and teaching: What ought people to learn? How are instruction and experience related? What counts as knowledge and truth? How do we discover the human nature that underlies our educational theories? What are the moral implications of leading young people out of innocence or ignorance? What is there to education beyond classrooms, schooling, and reading? How much education ought a society to require or expect of its population? How important is intellectual and moral maturity? The course also considers the historical contexts from which philosophical theories about education have arisen and their ideological, political, social, and economic implications.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Soc Resp and Ethic Reason
7220,PHIL 120N,PHIL,120,N,Knowing Right from Wrong,"Knowing Right from Wrong"" provides a comprehensive understanding of the nature of moral ideas, beliefs, and behaviors in contemporary contexts. What roles do nature and nurture play in the development of moral sensibilities? How do moral emotions and moral reasoning interact to produce moral behavior? What defines moral character and how does it influence what we do? Is it possible to derive what ought to be done from what is known about the world? How do we respond when moral demands compete with another? How do our moral convictions color our perceptions of world events? Can individuals and groups with differing moral commitments communicate with one another and live together peacefully? The course integrates perspectives from philosophy, psychology, and sociology, and prepares students to think about (and act in) a world in which morality (and its linked concepts, such as judgment of others) plays an increasingly important social and political role. The course treats morality as both an aspirational concept and as an actual social practice, and focuses on three major themes: (1) the origins and development of moral reasoning and ethical systems, (2) the influence of moral emotions and moral intuitions on moral reasoning and behavior, and (3) the influence of social and contextual factors on moral behavior and expression. Integrating the philosopher's interest in ethics, with the psychologist's interest in the mind and body, and the sociologist's interest in groups, the course provides a comprehensive introduction to morality in contemporary society, and the ways in which it shapes the lives of people in everyday situations.",3,3,"Cross-listed with: PSYCH 120N, SOC 120NBachelor of Arts: HumanitiesBachelor of Arts: Social and Behavioral SciencesGeneral Education: Humanities (GH)General Education: Social and Behavioral Scien (GS)General Education -  Integrative: InterdomainGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Soc Resp and Ethic Reason"
7223,PHIL 124,PHIL,124,,Philosophy of Religion,"This course surveys perennial philosophical questions connected with religion: What is God, deity, or divinity? What is the nature and significance of religious experience? Is it rational to hold religious beliefs? How persuasive are arguments about the existence of God? How compatible is religion with modern science? What are the meanings of miracles, immortality, and creation? In what ways might morality depend on religion? What role ought religion to play in society and the public sphere? What lesson should we draw from profound religious experiences? Ought religious tolerance to be limited at all? Through the reading and discussion of relevant historical and contemporary texts, students will be encouraged to reflect on such questions from a variety of perspectives.",3,3,Prerequisite:  third-semester standing
7226,PHIL 126,PHIL,126,,Metaphysics,"This course considers key concepts, problems, and figures in metaphysics, the investigation into the nature of reality. We will ask the deepest questions about what exists and how things relate to one another on a fundamental level. For example: Does everything ultimately reduce to simple substances, or is reality organized into types? Does time exist objectively, or is it dependent on the mind? Does effect follow cause as a matter of universal law or only as a statistical probability? What factors determine whether a thing is the same over time or differs at every instance? We will also query the most basic assumptions about reality, that a pencil will not fall through a desktop, the sun will rise tomorrow, and the world was not created a minute ago. Students will develop skills in reading difficult texts, evaluating arguments, and formulating their own philosophical views through discussion and in writing.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies
7229,PHIL 129,PHIL,129,,Philosophy of Language,"Philosophy of language asks the following sorts of questions: What makes a system of symbols a language? What is meaning? How does a term or a symbol refer to an object? In what way is speech also an action? How does language affect the way we see the world? This course offers a critical survey of key concepts, topics, and texts from Classical authors (e.g., Plato and Aristotle) and more recent thinkers, in the post-Fregean analytic tradition, the Peircean pragmatic tradition, and the post-Husserlian or Saussurean continental tradition. It shows how the debates about language and its relation to the world shed light on other major problems of philosophy. Due to the formal nature of its subject-matter, the course helps students develop skill in the logical analysis of sentences and descriptions.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical Think
7232,PHIL 134,PHIL,134,,"Food, Values, and Health","This course studies the ethical and social issues connected to food, personal and cultural eating habits, body image and ideas of health, and agricultural practices and industrialized food production. We will discuss the following sorts of questions: In what ways are cooking and eating central to our human identity? What do judgments about being anorexic, overweight, or eating unhealthily mean and do? How strong are the arguments for vegetarianism, veganism, or raw-food-ism? Ought we to eat as our Paleolithic ancestors did? If the future holds engineered meat, GMO fruit, and Soylent shakes, what are we to think? Should food-companies be allowed to advertise to children? Is alcohol more like food, like medicine, or like drugs? Students will pursue answers to such food-ethical questions by learning relevant moral and social theory, discussing past and contemporary approaches to these issues, and analyzing case studies. We will pay particular attention to food as a symbol with psychological, social, and spiritual meanings and effects.",3,3,Cross-listed with: FDSC 134Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Soc Resp and Ethic Reason
7235,PHIL 197,PHIL,197,,Special topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.",1,9,Bachelor of Arts: Humanities
7238,PHIL 200,PHIL,200,,Ancient Philosophy,"This course examines key themes, texts, and persons in ancient Greek philosophy, with the works of Plato and Aristotle at the core. We ask: What did Socrates mean when he said ""the unexamined life is not livable by humans""? Or when Thales said ""All begins in water""? Or when Epicurus said ""Only pleasure is valuable""? Or when Parmenides said ""You cannot speak of what is not""? To answer these questions, we examine the cultural background of philosophical thinking (Homer and Hesiod; Near Eastern traditions; trade and empire), and we survey views about, for example, the universe's structure and origin, the nature of reality and change, the status of knowledge and opinion, the best way of life for individuals and for societies, and the value of reason, persuasion, argument, and logic. We also give close attention to the formation, meaning, and purpose of philosophy, wisdom, and sophistry. This includes analysis of the ""myth reason"" hypothesis, Milesian inquiry into basic principles (archai), physical vs. ethical inquiry, and the development of doctrine, discipline, and disagreement. In addition to the figures mentioned above, figures studied may come from the periods of the Presocratics (e.g., Pythagoras, Heraclitus, Xenophanes), Hellenism (Stoic, Epicurean, Cynic, and Skeptic), the Romans (e.g., Cicero, Seneca), and the Neoplatonists (e.g., Plotinus).",3,3,Cross-listed with: CAMS 200Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies
7241,PHIL 203,PHIL,203,,Nineteenth Century Philosophy,"The nineteenth century is a period of political upheaval and ongoing social, cultural, and scientific transformation, shaped in equal parts by the French Revolution and the Industrial Revolution. This transformative character is reflected by the epoch¿s most influential philosophers. Kant's ""critical"" philosophy emphasizes the primacy of practice and the subject's active role in constructing reality. Hegel focuses on the rationality implicit in the historical growth of religion and the political institutions of the state. As the century wears on, escalating social and political conflicts lend credibility to outspoken critics of such optimistic rationalism. Schopenhauer¿s pessimism, Kierkegaard's existentialist focus on the irrationality of faith, Marx's historical materialism and emphasis on class struggle, Nietzsche's ""genealogical"" anti-realism and philosophy of power are prominent examples. The embrace of new paradigms in morality (Mill), natural science (Bergson), and psychology (Freud, James) round out the picture of a century in transition from ""classical"" European modes of thought to the self-conscious secularism and dynamism of the 20th century. By reading a broad selection of representative texts, students will learn about the major figures and streams of thought that shaped the course of this eventful period in the history of Western philosophy.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies
7244,PHIL 208,PHIL,208,,Contemporary Philosophy,"Treating contemporary philosophy as history encourages us to ask what current ideas are likely to resonate in the future. The course focuses on philosophical work that crosses disciplinary boundaries, addresses new social and political problems, introduces experimental styles, and opens novel areas of investigation. By engaging with the ideas of philosophers who are writing and thinking right now, students gain the opportunity to consider how well philosophy addresses issues of concern to a world that they themselves belong to. Examples include climate change, racism, posthumanism, globalization, gender and sexual identity, and the science of the mind. Working with living philosophers also affords the opportunity to see the authors speak about their work on video or, when practical, in person.",3,3,Bachelor of Arts: HumanitiesGeneral Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Soc Resp and Ethic Reason
7247,PHIL 296,PHIL,296,,Independent Studies,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",1,18,Bachelor of Arts: Humanities
7250,PHIL 401,PHIL,401,,American Philosophy,"Survey of key figures and movements in American thought, including the Transcendentalists, the Pragmatists, and contemporary developments.",3,3,"Prerequisite:  9 credits of philosophy, or 6 credits of philosophy at the   200-level or 5th semester standing"
7253,PHIL 405,PHIL,405,,Philosophy of Law,"Examines philosophical views of the nature of law, legal ethics, law and society through questions regarding definition, interpretation, and institutions.",3,3,"Prerequisite:  9 credits of philosophy, including PHIL 105 or 6 credits of philosophy at the 200 level or 5th semester   standing"
7256,PHIL 408W,PHIL,408,W,Social and Political Philosophy,"Historical and philosophical foundations of political organization, authority, and justice, and contemporary issues of rights, community, and culture.",3,3,Prerequisite:  9 credits in philosophy including PHIL 108 or 6 credits at the  200 level
7259,PHIL 413,PHIL,413,,Philosophy of Literature,"Discusses truth, belief, illusion, imagination and creativity through philosophical literature, as well as problems of philosophical writing.",3,3,"Prerequisite:  9 credits of philosophy, including PHIL 113 or 6 credits of philosophy at the 200 level"
7262,PHIL 418W,PHIL,418,W,Topics in Ethical Theory,"This course builds on lower level courses in ethics and value theory (e.g., PHIL 103). This class goes deeper into questions of the meaning, justification, and motivational grounding of ethical judgments. Topics may include ""normative ethical systems"" such as utilitarianism, Kantian ethics, Aristotelian virtue theory, and feminist care ethics. Also included are more abstract issues in ""meta-ethics"" such as whether ethical statements can be true or false, whether they stand in logical relation to each other as do other propositions, what connection do such judgments have to the psychological make-up of human beings, and the like. Also considered are questions such as the objectivity (or relativity) of ethical judgments and their relation to the meaning and evaluation of social practices and institutions.",3,3,"Prerequisite:  9 credits of philosophy, including PHIL 103 or 6 credits of philosophy at the 200 level"
7265,PHIL 426W,PHIL,426,W,Metaphysics,"Examines the nature of reality, the existence of freedom, and the nature of matter, mind, and values.",3,6,"Prerequisite:  9 credits in philosophy, including PHIL 126 or 6 credits of philosophy at the 200 level"
7268,PHIL 433,PHIL,433,,Ethics in Science and Engineering,Ethical issues arising in the practice of science and engineering and their philosophical analysis.,3,3,Cross-listed with: STS 433Bachelor of Arts: HumanitiesBachelor of Arts: Social and Behavioral Sciences
7271,PHIL 438,PHIL,438,,Feminist Philosophy,"Examines the central currents of feminist philosophy, selected problems and concepts regarding difference, gender and sex, identity, and political culture.",3,3,"Prerequisite:  9 credits of philosophy, including 6 credits of philosophy at the   200-level or 5th semester standing"
7274,PHIL 453,PHIL,453,,Topics in Ancient Philosophy,Examines the philosophy of central figures in ancient philosophy from the pre-Socratics to the post-Aristotelians and Neoplatonists.,3,3,"Prerequisite:  9 credits of philosophy, including PHIL 200 or 6 credits of philosophy at the 200 level"
7277,PHIL 457,PHIL,457,,Topics in Twentieth Century Philosophy,"Topics in the philosophy of figures such as Husseri, James, Russell, Wittgenstein, Heidegger, Merleau-Ponty, and Dewey.",3,3,"Prerequisite:  9 credits of philosophy, including PHIL 204 or 6 credits of philosophy at the 200 level or 5th semester   standing"
7280,PHIL 461,PHIL,461,,Plato,"Examines the metaphysics, epistemology, politics, aesthetics, and moral theory of this central figure in the history of philosophy.",3,6,"Prerequisite:  9 credits of philosophy, including PHIL 200 or 6 credits of philosophy at the 200 level"
7283,PHIL 474,PHIL,474,,Kant,"Critical examination of the metaphysics, epistemology, aesthetics, legal and moral philosophy, and influence of Immanuel Kant.",3,6,"Prerequisite:  9 credits in philosophy, including PHIL 202 or 6 credits of philosophy at the 200 level"
7286,PHIL 479,PHIL,479,,Critical Theory,"In this course, the term Critical Theory refers to a distinctive approach to social, cultural, and political theory associated with the Institute for Social Research in Frankfurt am Main, Germany, which was founded in 1923. Members of what came to be called the Frankfurt School were sharply critical of the political structures, social institutions, and culture of late capitalist societies such as Germany and the United States (where they lived and worked in exile during the Second World War). They were heavily influenced by the post-Kantian German philosophical tradition, especially the work of Hegel, Marx, Nietzsche, and Freud. This course will focus on the historical development of Critical Theory, with an emphasis on the major figures of the early Frankfurt School: Theodor Adorno, Max Horkheimer, Walter Benjamin, and Herbert Marcuse. However, since Critical Theory is also an ongoing theoretical project, we will also study some contemporary representatives of this tradition, as well as some of its trenchant critics. After some introductory material, including discussion of the Marxist background of early Critical Theory, the course will focus on the following themes: Modernity, History, and Progress; Psychoanalysis and Critique; Culture and Art; and Race, Antisemitism, and Imperialism. In addition to the authors mentioned above, we will discuss work by such thinkers as Jürgen Habermas, Axel Honneth, Nancy Fraser, Seyla Benhabib, Enrique Dussel, and Angela Davis.",3,3,"Prerequisite:  9 credits of philosophy, including either PHIL 203 or 6 credits of philosophy at the 200 level"
